Month,Month Label,Year,Landing Page,Page Category,Search Intent,Pageviews,Entrances,Exits,Avg Time on Page,Page Conversions,Scroll Depth,Time Pool,Scroll Pool
2025-08-01,2025-08,2025,/resources/templates,Tool,Informational,16763,10006,4825,116,272,0.46,1944508,7710.98
2025-08-01,2025-08,2025,/customers/case-study-northwind,Case Study,Commercial,6648,4850,2544,180,250,0.63,1196640,4188.24
2025-08-01,2025-08,2025,/compare/vs-competitor,Comparison,Commercial,10643,3977,4559,186,183,0.7,1979598,7450.1
2025-08-01,2025-08,2025,/demo,Demo,Transactional,9301,4709,2075,100,833,0.35,930100,3255.35
2025-09-01,2025-09,2025,/,Home,Navigational,51320,34721,17691,52,312,0.56,2668640,28739.2
2025-09-01,2025-09,2025,/pricing,Pricing,Commercial,24199,17921,10636,111,1295,0.64,2686089,15487.36
2025-09-01,2025-09,2025,/product/analytics,Product,Commercial,21858,9908,10607,154,343,0.8,3366132,17486.4
2025-09-01,2025-09,2025,/product/automation,Product,Commercial,18021,9323,5047,163,299,0.45,2937423,8109.45
2025-09-01,2025-09,2025,/blog/marketing-attribution-guide,Blog,Informational,28454,18496,9270,264,223,0.53,7511856,15080.62
2025-09-01,2025-09,2025,/blog/roas-benchmarks-2025,Blog,Informational,21687,15486,9121,183,251,0.69,3968721,14964.03
2025-09-01,2025-09,2025,/blog/email-subject-lines,Blog,Informational,18322,7819,8544,168,62,0.77,3078096,14107.94
2025-09-01,2025-09,2025,/resources/roi-calculator,Tool,Commercial,13185,6471,3442,292,441,0.41,3850020,5405.85
2025-09-01,2025-09,2025,/resources/templates,Tool,Informational,11203,6985,3437,161,195,0.49,1803683,5489.47
2025-09-01,2025-09,2025,/customers/case-study-northwind,Case Study,Commercial,6934,4767,2785,184,238,0.66,1275856,4576.44
2025-09-01,2025-09,2025,/compare/vs-competitor,Comparison,Commercial,11051,4423,4944,190,209,0.74,2099690,8177.74
2025-09-01,2025-09,2025,/demo,Demo,Transactional,9641,4476,2335,103,759,0.38,993023,3663.58
2025-10-01,2025-10,2025,/,Home,Navigational,49167,34572,17883,53,300,0.59,2605851,29008.53
2025-10-01,2025-10,2025,/pricing,Pricing,Commercial,25166,8737,10304,114,431,0.67,2868924,16861.22
2025-10-01,2025-10,2025,/product/analytics,Product,Commercial,21159,10154,10669,157,336,0.84,3321963,17773.56
2025-10-01,2025-10,2025,/product/automation,Product,Commercial,18642,10140,4660,166,334,0.4,3094572,7456.8
2025-10-01,2025-10,2025,/blog/marketing-attribution-guide,Blog,Informational,27212,18412,9382,188,214,0.56,5115856,15238.72
2025-10-01,2025-10,2025,/blog/roas-benchmarks-2025,Blog,Informational,22574,16719,8815,187,277,0.64,4221338,14447.36
2025-10-01,2025-10,2025,/blog/email-subject-lines,Blog,Informational,17715,8031,8597,172,61,0.8,3046980,14172.0
2025-10-01,2025-10,2025,/resources/roi-calculator,Tool,Commercial,13648,7061,3153,298,494,0.36,4067104,4913.28
2025-10-01,2025-10,2025,/resources/templates,Tool,Informational,16863,10963,5494,165,313,0.53,2782395,8937.39
2025-10-01,2025-10,2025,/customers/case-study-northwind,Case Study,Commercial,7224,5159,2684,189,263,0.61,1365336,4406.64
2025-10-01,2025-10,2025,/compare/vs-competitor,Comparison,Commercial,10672,4555,4977,184,222,0.77,1963648,8217.44
2025-10-01,2025-10,2025,/demo,Demo,Transactional,9985,4901,5113,105,853,0.85,1048425,8487.25
2025-11-01,2025-11,2025,/,Home,Navigational,51329,33932,19645,54,301,0.54,2771766,27717.66
2025-11-01,2025-11,2025,/pricing,Pricing,Commercial,24237,9059,10384,110,461,0.7,2666070,16965.9
2025-11-01,2025-11,2025,/product/analytics,Product,Commercial,21943,9607,4899,161,327,0.78,3532823,17115.54
2025-11-01,2025-11,2025,/product/automation,Product,Commercial,19272,10995,5184,161,371,0.43,3102792,8286.96
2025-11-01,2025-11,2025,/blog/marketing-attribution-guide,Blog,Informational,28441,18047,10346,193,215,0.51,5489113,14504.91
2025-11-01,2025-11,2025,/blog/roas-benchmarks-2025,Blog,Informational,23473,8151,9612,180,92,0.67,4225140,15726.91
2025-11-01,2025-11,2025,/blog/email-subject-lines,Blog,Informational,18385,7561,9272,176,59,0.84,3235760,15443.4
2025-11-01,2025-11,2025,/resources/roi-calculator,Tool,Commercial,14117,7679,3530,289,551,0.4,4079813,5646.8
2025-11-01,2025-11,2025,/resources/templates,Tool,Informational,11190,6804,3859,117,187,0.56,1309230,6266.4
2025-11-01,2025-11,2025,/customers/case-study-northwind,Case Study,Commercial,7519,5569,2937,182,290,0.64,1368458,4812.16
2025-11-01,2025-11,2025,/compare/vs-competitor,Comparison,Commercial,11085,4265,5380,188,198,0.8,2083980,8868.0
2025-11-01,2025-11,2025,/demo,Demo,Transactional,10335,5348,2388,107,956,0.36,1105845,3720.6
2025-12-01,2025-12,2025,/,Home,Navigational,53523,36806,18876,56,334,0.57,2997288,30508.11
2025-12-01,2025-12,2025,/pricing,Pricing,Commercial,25214,10095,11282,113,736,0.74,2849182,18658.36
2025-12-01,2025-12,2025,/product/analytics,Product,Commercial,22738,10560,11214,164,370,0.82,3729032,18645.16
2025-12-01,2025-12,2025,/product/automation,Product,Commercial,18735,11187,5395,164,363,0.46,3072540,8618.1
2025-12-01,2025-12,2025,/blog/marketing-attribution-guide,Blog,Informational,29689,19629,9908,198,239,0.54,5878422,16032.06
2025-12-01,2025-12,2025,/blog/roas-benchmarks-2025,Blog,Informational,22605,8451,9686,184,138,0.7,4159320,15823.5
2025-12-01,2025-12,2025,/blog/email-subject-lines,Blog,Informational,19065,8348,9041,180,67,0.78,3431700,14870.7
2025-12-01,2025-12,2025,/resources/roi-calculator,Tool,Commercial,13711,7823,3689,295,539,0.43,4044745,5895.73
2025-12-01,2025-12,2025,/resources/templates,Tool,Informational,11694,7421,3681,120,209,0.51,1403280,5963.94
2025-12-01,2025-12,2025,/customers/case-study-northwind,Case Study,Commercial,7230,2511,2961,186,89,0.67,1344780,4844.1
2025-12-01,2025-12,2025,/compare/vs-competitor,Comparison,Commercial,11503,4732,5237,192,227,0.75,2208576,8627.25
2025-12-01,2025-12,2025,/demo,Demo,Transactional,10028,5456,2508,103,1001,0.4,1032884,4011.2
